                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 2.2384,                 4.5606,                 2.9266,                0.55742,                    0.2,                0.15323,                 0.0629,                 1.9376,                 3.7851,                  2.632,              0.0003848,              0.0003848,              0.0003848
                     81,                 2.3858,                  4.172,                 3.1773,                0.55742,                    0.2,                0.15323,                 0.0629,                 1.9376,                 3.7851,                  2.632,             0.00038439,             0.00038439,             0.00038439
                     82,                 2.2712,                 4.0485,                 3.1137,                 0.0137,                   0.85,                0.10652,                0.05432,                 2.0942,                 3.8338,                 2.7243,             0.00038397,             0.00038397,             0.00038397
                     83,                 1.9598,                 4.4428,                  2.893,                 0.0137,                   0.85,                0.10652,                0.05432,                 2.0942,                 3.8338,                 2.7243,             0.00038356,             0.00038356,             0.00038356
                     84,                 2.1707,                 4.0641,                 3.1752,                0.73864,                    0.2,                0.15741,                0.06843,                 2.1489,                 3.8594,                 2.7419,             0.00038315,             0.00038315,             0.00038315
                     85,                  2.138,                 4.4646,                 3.1142,                0.73864,                    0.2,                0.15741,                0.06843,                 2.1489,                 3.8594,                 2.7419,             0.00038274,             0.00038274,             0.00038274
                     86,                 1.7617,                 4.1545,                 2.8912,                0.73022,                    0.2,                 0.1293,                0.05475,                 1.9938,                 4.3283,                 2.7087,             0.00038232,             0.00038232,             0.00038232
                     87,                 2.2328,                  4.008,                 2.8719,                0.73022,                    0.2,                 0.1293,                0.05475,                 1.9938,                 4.3283,                 2.7087,             0.00038191,             0.00038191,             0.00038191
                     88,                 1.9902,                 4.3223,                 2.8882,                0.32384,                    0.3,                0.15372,                0.06776,                 1.9053,                 5.7586,                 2.7697,              0.0003815,              0.0003815,              0.0003815
                     89,                 2.3041,                 4.8791,                 3.0741,                0.32384,                    0.3,                0.15372,                0.06776,                 1.9053,                 5.7586,                 2.7697,             0.00038108,             0.00038108,             0.00038108
                     90,                 1.7458,                 4.3837,                 2.9432,                0.27123,                    0.6,                0.24145,                0.09353,                 1.7651,                 8.8365,                 2.5487,             0.00038067,             0.00038067,             0.00038067
                     91,                 2.7016,                 4.3015,                 3.4023,                0.27123,                    0.6,                0.24145,                0.09353,                 1.7651,                 8.8365,                 2.5487,             0.00038026,             0.00038026,             0.00038026
                     92,                 1.7899,                 3.8431,                 2.8712,                0.36337,                    0.4,                0.19617,                0.09335,                 1.7136,                  14.04,                 2.4424,             0.00037985,             0.00037985,             0.00037985
                     93,                 2.3772,                 4.1834,                 3.1909,                0.36337,                    0.4,                0.19617,                0.09335,                 1.7136,                  14.04,                 2.4424,             0.00037943,             0.00037943,             0.00037943
                     94,                 1.9256,                 3.6985,                 2.7753,                0.21213,                   0.45,                0.16205,                0.07354,                 1.6216,                 12.207,                 2.3493,             0.00037902,             0.00037902,             0.00037902
                     95,                 2.1149,                  4.802,                 3.0403,                0.21213,                   0.45,                0.16205,                0.07354,                 1.6216,                 12.207,                 2.3493,             0.00037861,             0.00037861,             0.00037861
                     96,                  2.245,                 4.1803,                  3.129,                0.88693,                   0.05,                 0.1949,                0.08142,                 1.6947,                 6.7191,                 2.3201,             0.00037819,             0.00037819,             0.00037819
                     97,                 2.1989,                 3.8761,                 3.1283,                0.88693,                   0.05,                 0.1949,                0.08142,                 1.6947,                 6.7191,                 2.3201,             0.00037778,             0.00037778,             0.00037778
                     98,                 2.1441,                 3.7992,                 3.0804,                0.78797,                    0.1,                0.18638,                0.09518,                 1.7341,                  4.934,                 2.3495,             0.00037737,             0.00037737,             0.00037737
                     99,                 1.9886,                 3.7288,                 2.8283,                0.78797,                    0.1,                0.18638,                0.09518,                 1.7341,                  4.934,                 2.3495,             0.00037696,             0.00037696,             0.00037696
